labels,confusion_matrix_normalized,curves/Precision-Recall(B)_table,train/dfl_loss,metrics/mAP50-95(B),train_batch0,train_batch6571,confusion_matrix,PR_curve,lr/pg1,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,curves/Recall-Confidence(B)_table,P_curve,train_batch6572,val_batch0_pred,val/dfl_loss,lr/pg0,results,train_batch6570,_step,train/cls_loss,train/box_loss,metrics/mAP50(B),val_batch2_labels,lr/pg2,val_batch1_pred,train_batch1,val_batch0_labels,val/cls_loss,val/box_loss,_runtime,R_curve,model/parameters,model/GFLOPs,F1_curve,train_batch2,val_batch2_pred,metrics/precision(B),val_batch1_labels,curves/F1-Confidence(B)_table,_timestamp,variant,seed,run_name,epoch
,,,1.81163,0.4018,,,,,0.00034361082678945786,0.66003,,,,,,,2.20642,0.00034361082678945786,,,39,1.06975,1.23826,0.68735,,0.00034361082678945786,,,,1.2677,1.52982,1945.924047112,,,,,,,0.70217,,,1780001567.8859644,p2,1337,p2_seed1337,39
,,,1.79255,0.36992,,,,,0.0003363376352607096,0.63707,,,,,,,2.29879,0.0003363376352607096,,,40,1.06832,1.22137,0.66295,,0.0003363376352607096,,,,1.34853,1.58142,1995.606995358,,,,,,,0.6994,,,1780001615.4130347,p2,1337,p2_seed1337,40
,,,1.78456,0.4198,,,,,0.00032898170610779956,0.64129,,,,,,,2.22672,0.00032898170610779956,,,41,1.05994,1.21208,0.71059,,0.00032898170610779956,,,,1.23235,1.53382,2043.048810087,,,,,,,0.74927,,,1780001665.1711435,p2,1337,p2_seed1337,41
,,,1.78616,0.41053,,,,,0.0003215502987447093,0.65307,,,,,,,2.2147,0.0003215502987447093,,,42,1.0258,1.20733,0.70375,,0.0003215502987447093,,,,1.21824,1.53042,2090.619369636,,,,,,,0.71675,,,1780001712.4107292,p2,1337,p2_seed1337,42
,,,1.77248,0.41371,,,,,0.00031405074707330157,0.62441,,,,,,,2.22699,0.00031405074707330157,,,43,1.02849,1.19578,0.70158,,0.00031405074707330157,,,,1.23006,1.53831,2138.147065588,,,,,,,0.75348,,,1780001759.968884,p2,1337,p2_seed1337,43
,,,1.77026,0.39428,,,,,0.00030649045224564434,0.64271,,,,,,,2.23175,0.00030649045224564434,,,44,0.99171,1.19002,0.68126,,0.00030649045224564434,,,,1.34793,1.54864,2185.451119217,,,,,,,0.69658,,,1780001807.511467,p2,1337,p2_seed1337,44
,,,1.73746,0.42188,,,,,0.00029887687535996686,0.63279,,,,,,,2.26269,0.00029887687535996686,,,45,0.98403,1.16972,0.71182,,0.00029887687535996686,,,,1.21519,1.55613,2232.738932395,,,,,,,0.75949,,,1780001854.7630816,p2,1337,p2_seed1337,45
,,,1.75101,0.41863,,,,,0.00029121753009745717,0.65453,,,,,,,2.22271,0.00029121753009745717,,,46,0.98583,1.17138,0.70004,,0.00029121753009745717,,,,1.2272,1.5385,2282.054341944,,,,,,,0.69655,,,1780001902.1566446,p2,1337,p2_seed1337,46
,,,1.72866,0.41039,,,,,0.00028351997530716536,0.66206,,,,,,,2.23886,0.00028351997530716536,,,47,0.94812,1.14741,0.70277,,0.00028351997530716536,,,,1.20976,1.53985,2330.062171233,,,,,,,0.72897,,,1780001952.4803774,p2,1337,p2_seed1337,47
,,,1.72052,0.39992,,,,,0.00027579180754633227,0.66148,,,,,,,2.2864,0.00027579180754633227,,,48,0.94616,1.13603,0.68679,,0.00027579180754633227,,,,1.25365,1.55528,2376.918591022,,,,,,,0.68386,,,1780001999.4521549,p2,1337,p2_seed1337,48
,,,1.70739,0.4202,,,,,0.0002680406535835051,0.65849,,,,,,,2.22475,0.0002680406535835051,,,49,0.92652,1.12986,0.70834,,0.0002680406535835051,,,,1.21048,1.53163,2423.761565184,,,,,,,0.73012,,,1780002046.2804413,p2,1337,p2_seed1337,49
,,,1.69854,0.40268,,,,,0.0002602741628718368,0.6589,,,,,,,2.25409,0.0002602741628718368,,,50,0.91426,1.12004,0.68975,,0.0002602741628718368,,,,1.20958,1.53546,2470.739243494,,,,,,,0.70612,,,1780002092.972981,p2,1337,p2_seed1337,50
,,,1.70401,0.40234,,,,,0.00025250000000000007,0.66283,,,,,,,2.24381,0.00025250000000000007,,,51,0.92087,1.10868,0.68538,,0.00025250000000000007,,,,1.21436,1.54482,2517.633869579,,,,,,,0.71749,,,1780002139.915519,p2,1337,p2_seed1337,51
,,,1.69058,0.39917,,,,,0.0002447258371281633,0.66092,,,,,,,2.33187,0.0002447258371281633,,,52,0.90985,1.11046,0.69138,,0.0002447258371281633,,,,1.22333,1.57975,2564.322855475,,,,,,,0.71701,,,1780002186.914295,p2,1337,p2_seed1337,52
,,,1.66775,0.407,,,,,0.0002369593464164949,0.63648,,,,,,,2.28986,0.0002369593464164949,,,53,0.87211,1.08013,0.70168,,0.0002369593464164949,,,,1.20514,1.54126,2613.002942491,,,,,,,0.74203,,,1780002235.2350192,p2,1337,p2_seed1337,53
,,,1.66176,0.41014,,,,,0.0002292081924536677,0.64983,,,,,,,2.29269,0.0002292081924536677,,,54,0.85934,1.07402,0.70243,,0.0002292081924536677,,,,1.18986,1.54931,2659.710404685,,,,,,,0.76155,,,1780002282.27211,p2,1337,p2_seed1337,54
,,,1.65399,0.4055,,,,,0.0002214800246928347,0.6646,,,,,,,2.28602,0.0002214800246928347,,,55,0.84501,1.06591,0.70377,,0.0002214800246928347,,,,1.17842,1.56588,2706.339254729,,,,,,,0.74085,,,1780002328.8847988,p2,1337,p2_seed1337,55
,,,1.63623,0.41671,,,,,0.0002137824699025429,0.66341,,,,,,,2.27603,0.0002137824699025429,,,56,0.84139,1.04708,0.70264,,0.0002137824699025429,,,,1.16412,1.54277,2753.843460488,,,,,,,0.72674,,,1780002375.740003,p2,1337,p2_seed1337,56
,,,1.63655,0.42583,,,,,0.0002061231246400332,0.65336,,,,,,,2.28243,0.0002061231246400332,,,57,0.83295,1.03912,0.70661,,0.0002061231246400332,,,,1.1667,1.55406,2802.753721286,,,,,,,0.74865,,,1780002423.143878,p2,1337,p2_seed1337,57
,,,1.60103,0.41527,,,,,0.00019850954775435582,0.68552,,,,,,,2.27403,0.00019850954775435582,,,58,0.81917,1.01587,0.6982,,0.00019850954775435582,,,,1.18897,1.55033,2849.470099957,,,,,,,0.6862,,,1780002471.9895034,p2,1337,p2_seed1337,58
,,,1.59527,0.40535,,,,,0.00019094925292669846,0.65912,,,,,,,2.36177,0.00019094925292669846,,,59,0.79089,1.00785,0.6859,,0.00019094925292669846,,,,1.23474,1.57673,2896.261459008,,,,,,,0.71989,,,1780002518.7682517,p2,1337,p2_seed1337,59
,,,1.59688,0.41422,,,,,0.0001834497012552908,0.67044,,,,,,,2.3605,0.0001834497012552908,,,60,0.78479,1.00426,0.71186,,0.0001834497012552908,,,,1.17825,1.56972,2944.560830121,,,,,,,0.73692,,,1780002565.4596841,p2,1337,p2_seed1337,60
,,,1.61452,0.42263,,,,,0.00017601829389220065,0.65476,,,,,,,2.31856,0.00017601829389220065,,,61,0.7993,1.01157,0.71201,,0.00017601829389220065,,,,1.17798,1.55958,2991.420461634,,,,,,,0.74843,,,1780002614.0065622,p2,1337,p2_seed1337,61
,,,1.57626,0.40461,,,,,0.00016866236473929043,0.65535,,,,,,,2.3984,0.00016866236473929043,,,62,0.7724,0.98065,0.69727,,0.00016866236473929043,,,,1.20043,1.57542,3038.809662916,,,,,,,0.74306,,,1780002661.406573,p2,1337,p2_seed1337,62
