train_batch2,curves/F1-Confidence(B)_table,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),val_batch2_labels,results,val_batch0_pred,curves/Recall-Confidence(B)_table,model/parameters,labels,train/dfl_loss,val/dfl_loss,confusion_matrix_normalized,train_batch6571,lr/pg0,metrics/recall(B),metrics/precision(B),P_curve,train_batch0,val/cls_loss,R_curve,val_batch1_pred,val_batch0_labels,model/GFLOPs,metrics/mAP50(B),val/box_loss,F1_curve,train_batch1,val_batch2_pred,train_batch6572,_step,train/cls_loss,_runtime,_timestamp,confusion_matrix,lr/pg2,model/speed_PyTorch(ms),lr/pg1,PR_curve,train_batch6570,curves/Precision-Recall(B)_table,train/box_loss,val_batch1_labels,variant,seed,run_name,epoch
,,,0.42109,,,,,,,5.18314,7.3796,,,0.0001471196253376445,0.6455,0.73655,,,1.12152,,,,,0.70604,6.03907,,,,,65,0.92194,2259.831767319,1780017334.032839,,0.0001471196253376445,,0.0001471196253376445,,,,3.89179,,sizeaware,2024,sizeaware_seed2024,65
,,,0.42103,,,,,,,5.19417,7.35119,,,0.0001401373513144622,0.648,0.73839,,,1.13125,,,,,0.70827,5.95167,,,,,66,0.90861,2292.930504465,1780017367.7656076,,0.0001401373513144622,,0.0001401373513144622,,,,3.92281,,sizeaware,2024,sizeaware_seed2024,66
,,,0.41272,,,,,,,5.16223,7.41232,,,0.00013326596565982546,0.64795,0.7286,,,1.14674,,,,,0.70105,6.01474,,,,,67,0.89379,2327.360475789,1780017402.1475682,,0.00013326596565982546,,0.00013326596565982546,,,,3.87931,,sizeaware,2024,sizeaware_seed2024,67
,,,0.41757,,,,,,,5.15697,7.36451,,,0.0001265122496017831,0.63488,0.7459,,,1.1525,,,,,0.70488,5.9606,,,,,68,0.9052,2362.836845298,1780017435.3293939,,0.0001265122496017831,,0.0001265122496017831,,,,3.84899,,sizeaware,2024,sizeaware_seed2024,68
,,,0.42083,,,,,,,5.13376,7.55329,,,0.00011988286824269823,0.64144,0.73547,,,1.14781,,,,,0.71022,6.05265,,,,,69,0.88866,2396.017284303,1780017470.8280969,,0.00011988286824269823,,0.00011988286824269823,,,,3.76209,,sizeaware,2024,sizeaware_seed2024,69
,,,0.41751,,,,,,,5.07183,7.49396,,,0.00011338436398159763,0.64717,0.72675,,,1.14977,,,,,0.70444,6.00235,,,,,70,0.86353,2429.789771323,1780017503.9488268,,0.00011338436398159763,,0.00011338436398159763,,,,3.74339,,sizeaware,2024,sizeaware_seed2024,70
,,,0.41452,,,,,,,5.0506,7.45893,,,0.00010702315005761298,0.62859,0.75526,,,1.14588,,,,,0.70504,6.03825,,,,,71,0.86704,2463.866901998,1780017538.0658426,,0.00010702315005761298,,0.00010702315005761298,,,,3.70211,,sizeaware,2024,sizeaware_seed2024,71
,,,0.416,,,,,,,5.03839,7.547,,,0.0001008055042208883,0.6668,0.70253,,,1.1477,,,,,0.7078,6.05844,,,,,72,0.85331,2497.558563862,1780017571.876027,,0.0001008055042208883,,0.0001008055042208883,,,,3.69533,,sizeaware,2024,sizeaware_seed2024,72
,,,0.41678,,,,,,,4.9918,7.59131,,,9.473756253719929e-05,0.65178,0.72974,,,1.14193,,,,,0.70369,6.06065,,,,,73,0.85501,2530.945479437,1780017605.5179782,,9.473756253719929e-05,,9.473756253719929e-05,,,,3.65666,,sizeaware,2024,sizeaware_seed2024,73
,,,0.42023,,,,,,,5.0667,7.61535,,,8.882531333239618e-05,0.64517,0.74771,,,1.12916,,,,,0.70642,6.07867,,,,,74,0.85656,2564.331346031,1780017638.9179904,,8.882531333239618e-05,,8.882531333239618e-05,,,,3.70846,,sizeaware,2024,sizeaware_seed2024,74
,,,0.42433,,,,,,,4.97685,7.48591,,,8.307459128264955e-05,0.65694,0.74165,,,1.11403,,,,,0.71236,6.0018,,,,,75,0.82512,2598.021890675,1780017672.4263413,,8.307459128264955e-05,,8.307459128264955e-05,,,,3.62534,,sizeaware,2024,sizeaware_seed2024,75
,,,0.42308,,,,,,,4.93496,7.58882,,,7.749107165632952e-05,0.66536,0.73392,,,1.11607,,,,,0.71278,6.07828,,,,,76,0.82625,2631.580046519,1780017706.0560024,,7.749107165632952e-05,,7.749107165632952e-05,,,,3.56838,,sizeaware,2024,sizeaware_seed2024,76
,,,0.42895,,,,,,,4.96118,7.64361,,,7.208026471320073e-05,0.66523,0.72591,,,1.12431,,,,,0.7137,6.06048,,,,,77,0.80642,2665.076573117,1780017739.6377962,,7.208026471320073e-05,,7.208026471320073e-05,,,,3.56693,,sizeaware,2024,sizeaware_seed2024,77
,,,0.42079,,,,,,,4.95323,7.72246,,,6.684751026646124e-05,0.65791,0.73831,,,1.12285,,,,,0.70966,6.13371,,,,,78,0.80984,2699.232765509,1780017773.6732826,,6.684751026646124e-05,,6.684751026646124e-05,,,,3.54677,,sizeaware,2024,sizeaware_seed2024,78
,,,0.42193,,,,,,,4.91057,7.69674,,,6.179797241299223e-05,0.66819,0.719,,,1.13584,,,,,0.71181,6.0707,,,,,79,0.81465,2734.900725719,1780017807.2396035,,6.179797241299223e-05,,6.179797241299223e-05,,,,3.48062,,sizeaware,2024,sizeaware_seed2024,79
,,,0.42499,,,,,,,4.88012,7.75443,,,5.693663443701663e-05,0.66178,0.73281,,,1.11012,,,,,0.71715,6.10076,,,,,80,0.78975,2768.575233356,1780017842.9817061,,5.693663443701663e-05,,5.693663443701663e-05,,,,3.4085,,sizeaware,2024,sizeaware_seed2024,80
