results,curves/Precision-Recall(B)_table,_step,PR_curve,_runtime,train_batch3330,val_batch1_labels,val_batch0_pred,lr/pg2,metrics/recall(B),train/dfl_loss,P_curve,val/box_loss,train_batch0,curves/F1-Confidence(B)_table,val_batch2_labels,train_batch3331,train/box_loss,metrics/mAP50(B),model/GFLOPs,val/dfl_loss,model/speed_PyTorch(ms),lr/pg1,labels,R_curve,model/parameters,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),train_batch1,F1_curve,val/cls_loss,train_batch3332,metrics/precision(B),curves/Recall-Confidence(B)_table,train_batch2,val_batch0_labels,confusion_matrix_normalized,train/cls_loss,confusion_matrix,val_batch1_pred,lr/pg0,val_batch2_pred,_timestamp,variant,seed,run_name,epoch
,,37,,582.106367626,,,,0.00035788037466235543,0.5392,1.82328,,1.68217,,,,,1.58373,0.58937,,2.01561,,0.00035788037466235543,,,,,0.315,,,1.68543,,0.6626,,,,,1.62312,,,0.00035788037466235543,,1780036612.9848251,distill,2024,distill_seed2024,37
,,38,,594.966017583,,,,0.0003507941029321082,0.57354,1.82097,,1.6482,,,,,1.58325,0.60112,,1.97717,,0.0003507941029321082,,,,,0.32716,,,1.60364,,0.63479,,,,,1.59554,,,0.0003507941029321082,,1780036626.0023088,distill,2024,distill_seed2024,38
,,39,,607.813447695,,,,0.00034361082678945786,0.5622,1.82383,,1.61391,,,,,1.58318,0.59758,,1.96266,,0.00034361082678945786,,,,,0.3309,,,1.57013,,0.61585,,,,,1.60635,,,0.00034361082678945786,,1780036638.6795912,distill,2024,distill_seed2024,39
,,40,,620.899888644,,,,0.0003363376352607096,0.55392,1.81872,,1.65186,,,,,1.56181,0.60221,,2.00433,,0.0003363376352607096,,,,,0.32419,,,1.60694,,0.65115,,,,,1.58726,,,0.0003363376352607096,,1780036652.0217671,distill,2024,distill_seed2024,40
,,41,,636.205951984,,,,0.00032898170610779956,0.55803,1.80944,,1.68025,,,,,1.55646,0.60626,,1.99915,,0.00032898170610779956,,,,,0.32595,,,1.562,,0.6749,,,,,1.55442,,,0.00032898170610779956,,1780036667.1513581,distill,2024,distill_seed2024,41
,,42,,649.468619898,,,,0.0003215502987447093,0.53822,1.79846,,1.66127,,,,,1.54597,0.59447,,1.99163,,0.0003215502987447093,,,,,0.31981,,,1.58125,,0.66478,,,,,1.558,,,0.0003215502987447093,,1780036680.4281456,distill,2024,distill_seed2024,42
,,43,,661.929983335,,,,0.00031405074707330157,0.58479,1.80772,,1.64527,,,,,1.54515,0.61723,,1.96629,,0.00031405074707330157,,,,,0.33895,,,1.53083,,0.63599,,,,,1.5208,,,0.00031405074707330157,,1780036693.023477,distill,2024,distill_seed2024,43
,,44,,676.588537773,,,,0.00030649045224564434,0.60567,1.79705,,1.6396,,,,,1.5482,0.62593,,1.96426,,0.00030649045224564434,,,,,0.33843,,,1.53046,,0.62357,,,,,1.52328,,,0.00030649045224564434,,1780036707.0608447,distill,2024,distill_seed2024,44
,,45,,689.248017045,,,,0.00029887687535996686,0.58716,1.80016,,1.63756,,,,,1.53535,0.62397,,1.96172,,0.00029887687535996686,,,,,0.34055,,,1.49927,,0.64091,,,,,1.51048,,,0.00029887687535996686,,1780036720.3171434,distill,2024,distill_seed2024,45
,,46,,703.585701515,,,,0.00029121753009745717,0.56806,1.78366,,1.64134,,,,,1.52337,0.62062,,1.97442,,0.00029121753009745717,,,,,0.34024,,,1.54131,,0.66614,,,,,1.49843,,,0.00029121753009745717,,1780036734.6267412,distill,2024,distill_seed2024,46
,,47,,718.145423447,,,,0.00028351997530716536,0.58448,1.76523,,1.61387,,,,,1.51584,0.62635,,1.93435,,0.00028351997530716536,,,,,0.35098,,,1.52425,,0.64882,,,,,1.48772,,,0.00028351997530716536,,1780036749.0706456,distill,2024,distill_seed2024,47
