train_batch0,_step,confusion_matrix,metrics/mAP50(B),_timestamp,curves/F1-Confidence(B)_table,train_batch2,PR_curve,val_batch0_labels,val/cls_loss,metrics/precision(B),val_batch0_pred,P_curve,train_batch1,train/dfl_loss,confusion_matrix_normalized,model/parameters,labels,F1_curve,_runtime,model/GFLOPs,train/cls_loss,lr/pg0,val/dfl_loss,lr/pg1,val_batch2_labels,val_batch2_pred,train/box_loss,train_batch3330,train_batch3331,val_batch1_labels,results,curves/Precision-Recall(B)_table,lr/pg2,curves/Precision-Confidence(B)_table,val/box_loss,metrics/recall(B),curves/Recall-Confidence(B)_table,R_curve,metrics/mAP50-95(B),val_batch1_pred,model/speed_PyTorch(ms),train_batch3332,variant,seed,run_name,epoch
,37,,0.58135,1780035153.749164,,,,,1.63333,0.6031,,,,1.82715,,,,,570.31441707,,1.60283,0.00035788037466235543,2.06785,0.00035788037466235543,,,1.582,,,,,,0.00035788037466235543,,1.72087,0.55762,,,0.3071,,,,distill,1337,distill_seed1337,37
,38,,0.59692,1780035166.7439826,,,,,1.62804,0.65041,,,,1.82543,,,,,583.204831853,,1.58426,0.0003507941029321082,1.97807,0.0003507941029321082,,,1.5764,,,,,,0.0003507941029321082,,1.65075,0.54313,,,0.3171,,,,distill,1337,distill_seed1337,38
,39,,0.59438,1780035179.6785438,,,,,1.62881,0.63535,,,,1.8253,,,,,599.797974023,,1.59908,0.00034361082678945786,2.01625,0.00034361082678945786,,,1.58224,,,,,,0.00034361082678945786,,1.68321,0.55092,,,0.31488,,,,distill,1337,distill_seed1337,39
,40,,0.59552,1780035196.0342479,,,,,1.62829,0.59283,,,,1.81509,,,,,612.360289694,,1.58074,0.0003363376352607096,1.97306,0.0003363376352607096,,,1.55683,,,,,,0.0003363376352607096,,1.63806,0.57301,,,0.32774,,,,distill,1337,distill_seed1337,40
,41,,0.60594,1780035208.6626148,,,,,1.56188,0.63955,,,,1.80495,,,,,625.05377921,,1.53781,0.00032898170610779956,1.98165,0.00032898170610779956,,,1.55019,,,,,,0.00032898170610779956,,1.64842,0.57429,,,0.3342,,,,distill,1337,distill_seed1337,41
,42,,0.60044,1780035222.3618104,,,,,1.57096,0.66194,,,,1.80615,,,,,638.765913441,,1.54906,0.0003215502987447093,2.00274,0.0003215502987447093,,,1.55992,,,,,,0.0003215502987447093,,1.67204,0.55095,,,0.32545,,,,distill,1337,distill_seed1337,42
,43,,0.63057,1780035235.0972972,,,,,1.53749,0.68676,,,,1.80572,,,,,651.788055147,,1.51362,0.00031405074707330157,1.97464,0.00031405074707330157,,,1.54665,,,,,,0.00031405074707330157,,1.66682,0.56977,,,0.33917,,,,distill,1337,distill_seed1337,43
,44,,0.59868,1780035248.7229745,,,,,1.57754,0.63809,,,,1.79592,,,,,665.781526155,,1.51062,0.00030649045224564434,1.98001,0.00030649045224564434,,,1.55028,,,,,,0.00030649045224564434,,1.65236,0.56241,,,0.32471,,,,distill,1337,distill_seed1337,44
,45,,0.63016,1780035263.5436652,,,,,1.53915,0.67115,,,,1.79443,,,,,679.96776351,,1.51003,0.00029887687535996686,1.95936,0.00029887687535996686,,,1.52903,,,,,,0.00029887687535996686,,1.63617,0.56561,,,0.34756,,,,distill,1337,distill_seed1337,45
,46,,0.64259,1780035276.2148776,,,,,1.48781,0.65644,,,,1.78588,,,,,692.923137094,,1.49142,0.00029121753009745717,1.94606,0.00029121753009745717,,,1.53095,,,,,,0.00029121753009745717,,1.62806,0.59207,,,0.35604,,,,distill,1337,distill_seed1337,46
,47,,0.63994,1780035289.0410514,,,,,1.52062,0.66022,,,,1.75879,,,,,705.631845025,,1.46935,0.00028351997530716536,1.9077,0.00028351997530716536,,,1.51364,,,,,,0.00028351997530716536,,1.60739,0.58733,,,0.36067,,,,distill,1337,distill_seed1337,47
,48,,0.6286,1780035303.1050444,,,,,1.49318,0.68405,,,,1.7537,,,,,720.726447245,,1.46486,0.00027579180754633227,1.91561,0.00027579180754633227,,,1.49726,,,,,,0.00027579180754633227,,1.57441,0.56478,,,0.35308,,,,distill,1337,distill_seed1337,48
,49,,0.62408,1780035318.4365098,,,,,1.51657,0.65024,,,,1.75311,,,,,735.056244579,,1.46598,0.0002680406535835051,1.93185,0.0002680406535835051,,,1.49855,,,,,,0.0002680406535835051,,1.62968,0.5853,,,0.34417,,,,distill,1337,distill_seed1337,49
