results,val/dfl_loss,curves/Recall-Confidence(B)_table,train_batch6570,F1_curve,curves/Precision-Confidence(B)_table,val_batch1_pred,metrics/mAP50-95(B),train/cls_loss,model/GFLOPs,train_batch6572,P_curve,lr/pg1,PR_curve,train_batch1,val/cls_loss,val_batch0_pred,metrics/precision(B),lr/pg2,R_curve,_step,_runtime,curves/Precision-Recall(B)_table,metrics/recall(B),labels,train/box_loss,train_batch0,train/dfl_loss,confusion_matrix,val_batch1_labels,val_batch2_labels,_timestamp,train_batch2,model/speed_PyTorch(ms),confusion_matrix_normalized,val_batch2_pred,metrics/mAP50(B),model/parameters,lr/pg0,val_batch0_labels,curves/F1-Confidence(B)_table,val/box_loss,train_batch6571,variant,seed,run_name,epoch
,6.88164,,,,,,0.40127,1.22506,,,,0.00034361082678945786,,,1.27915,,0.71379,0.00034361082678945786,,39,1377.937616449,,0.62449,,4.95815,,5.88378,,,,1780010182.9599457,,,,,0.6775,,0.00034361082678945786,,,5.75676,,sizeaware,42,sizeaware_seed42,39
,7.06146,,,,,,0.38302,1.21515,,,,0.0003363376352607096,,,1.36412,,0.67399,0.0003363376352607096,,40,1411.185061997,,0.61009,,4.90417,,5.84502,,,,1780010216.19806,,,,,0.64714,,0.0003363376352607096,,,6.00242,,sizeaware,42,sizeaware_seed42,40
,7.08557,,,,,,0.40229,1.21623,,,,0.00032898170610779956,,,1.24884,,0.69563,0.00032898170610779956,,41,1445.051045662,,0.64829,,4.87378,,5.79866,,,,1780010249.6138663,,,,,0.69744,,0.00032898170610779956,,,5.93963,,sizeaware,42,sizeaware_seed42,41
,7.04641,,,,,,0.39687,1.17993,,,,0.0003215502987447093,,,1.25793,,0.69916,0.0003215502987447093,,42,1478.802660488,,0.63794,,4.79304,,5.78418,,,,1780010283.4181097,,,,,0.68083,,0.0003215502987447093,,,5.8534,,sizeaware,42,sizeaware_seed42,42
,7.11698,,,,,,0.37907,1.17864,,,,0.00031405074707330157,,,1.3012,,0.66136,0.00031405074707330157,,43,1512.228286528,,0.61558,,4.77055,,5.78894,,,,1780010317.154941,,,,,0.65787,,0.00031405074707330157,,,6.02437,,sizeaware,42,sizeaware_seed42,43
,6.94333,,,,,,0.39798,1.15691,,,,0.00030649045224564434,,,1.29069,,0.68211,0.00030649045224564434,,44,1545.62062252,,0.6565,,4.75358,,5.75049,,,,1780010350.4750795,,,,,0.67703,,0.00030649045224564434,,,5.83851,,sizeaware,42,sizeaware_seed42,44
,7.04722,,,,,,0.40978,1.13984,,,,0.00029887687535996686,,,1.22133,,0.70613,0.00029887687535996686,,45,1579.505820188,,0.64316,,4.67675,,5.67309,,,,1780010384.0211315,,,,,0.69338,,0.00029887687535996686,,,5.90722,,sizeaware,42,sizeaware_seed42,45
,7.02723,,,,,,0.39957,1.13919,,,,0.00029121753009745717,,,1.35342,,0.68203,0.00029121753009745717,,46,1612.961690576,,0.63816,,4.7431,,5.75635,,,,1780010417.8626425,,,,,0.6773,,0.00029121753009745717,,,5.88476,,sizeaware,42,sizeaware_seed42,46
,7.03973,,,,,,0.40688,1.12147,,,,0.00028351997530716536,,,1.25248,,0.69065,0.00028351997530716536,,47,1648.877512727,,0.63821,,4.66211,,5.67605,,,,1780010451.2346802,,,,,0.68959,,0.00028351997530716536,,,5.84471,,sizeaware,42,sizeaware_seed42,47
,7.14392,,,,,,0.4048,1.1159,,,,0.00027579180754633227,,,1.23091,,0.65632,0.00027579180754633227,,48,1682.400388337,,0.65155,,4.64161,,5.68531,,,,1780010487.1591957,,,,,0.68462,,0.00027579180754633227,,,5.90838,,sizeaware,42,sizeaware_seed42,48
,7.08407,,,,,,0.40489,1.08999,,,,0.0002680406535835051,,,1.21859,,0.70669,0.0002680406535835051,,49,1715.742732065,,0.63326,,4.55011,,5.62366,,,,1780010520.6134796,,,,,0.68615,,0.0002680406535835051,,,5.87761,,sizeaware,42,sizeaware_seed42,49
,7.05471,,,,,,0.40712,1.09794,,,,0.0002602741628718368,,,1.253,,0.70967,0.0002602741628718368,,50,1749.97883176,,0.63286,,4.55171,,5.59975,,,,1780010554.026527,,,,,0.68627,,0.0002602741628718368,,,5.86309,,sizeaware,42,sizeaware_seed42,50
,7.11601,,,,,,0.39615,1.09246,,,,0.00025250000000000007,,,1.24058,,0.69911,0.00025250000000000007,,51,1785.486272825,,0.61283,,4.52305,,5.62462,,,,1780010588.2636406,,,,,0.67435,,0.00025250000000000007,,,5.94467,,sizeaware,42,sizeaware_seed42,51
