train_batch2,train/dfl_loss,PR_curve,val/dfl_loss,val_batch2_pred,train_batch1,F1_curve,lr/pg0,metrics/mAP50-95(B),model/parameters,train/box_loss,val_batch0_labels,val_batch2_labels,_step,results,R_curve,_runtime,labels,_timestamp,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,confusion_matrix,metrics/mAP50(B),lr/pg2,val/box_loss,curves/F1-Confidence(B)_table,lr/pg1,curves/Recall-Confidence(B)_table,model/GFLOPs,val_batch1_pred,metrics/precision(B),confusion_matrix_normalized,train/cls_loss,val_batch0_pred,curves/Precision-Recall(B)_table,train_batch0,P_curve,val_batch1_labels,val/cls_loss,variant,seed,run_name,epoch
,1.828,,2.22668,,,,0.00034361082678945786,0.40364,,1.24985,,,39,,,1937.608408718,,1779997549.0858262,0.63859,,,,0.69056,0.00034361082678945786,1.55453,,0.00034361082678945786,,,,0.70082,,1.08829,,,,,,1.2838,p2,42,p2_seed42,39
,1.8121,,2.23927,,,,0.0003363376352607096,0.39868,,1.22669,,,40,,,1984.706144397,,1779997596.3356545,0.65987,,,,0.6966,0.0003363376352607096,1.53764,,0.0003363376352607096,,,,0.7018,,1.08076,,,,,,1.23848,p2,42,p2_seed42,40
,1.80083,,2.3072,,,,0.00032898170610779956,0.3951,,1.21878,,,41,,,2032.223272977,,1779997643.4869218,0.65768,,,,0.69133,0.00032898170610779956,1.57352,,0.00032898170610779956,,,,0.71,,1.05917,,,,,,1.31343,p2,42,p2_seed42,41
,1.80697,,2.24126,,,,0.0003215502987447093,0.41163,,1.21209,,,42,,,2082.146999257,,1779997690.9005165,0.66134,,,,0.69611,0.0003215502987447093,1.53863,,0.0003215502987447093,,,,0.6993,,1.04233,,,,,,1.25279,p2,42,p2_seed42,42
,1.78883,,2.26394,,,,0.00031405074707330157,0.4168,,1.2039,,,43,,,2130.17216891,,1779997741.7056177,0.6499,,,,0.70333,0.00031405074707330157,1.54631,,0.00031405074707330157,,,,0.71191,,1.03634,,,,,,1.26447,p2,42,p2_seed42,43
,1.78119,,2.26091,,,,0.00030649045224564434,0.39233,,1.18868,,,44,,,2177.426399539,,1779997788.846354,0.64419,,,,0.67371,0.00030649045224564434,1.53432,,0.00030649045224564434,,,,0.70504,,1.00667,,,,,,1.34079,p2,42,p2_seed42,44
,1.75895,,2.24045,,,,0.00029887687535996686,0.42056,,1.16987,,,45,,,2224.851337637,,1779997836.2053862,0.65727,,,,0.70556,0.00029887687535996686,1.53316,,0.00029887687535996686,,,,0.71848,,0.994,,,,,,1.24957,p2,42,p2_seed42,45
,1.7684,,2.24136,,,,0.00029121753009745717,0.40709,,1.17066,,,46,,,2274.435922164,,1779997883.4735987,0.69247,,,,0.69642,0.00029121753009745717,1.51311,,0.00029121753009745717,,,,0.6934,,0.99417,,,,,,1.20103,p2,42,p2_seed42,46
,1.75571,,2.28511,,,,0.00028351997530716536,0.40339,,1.15502,,,47,,,2321.573172603,,1779997933.0493038,0.66656,,,,0.70215,0.00028351997530716536,1.55611,,0.00028351997530716536,,,,0.71693,,0.97147,,,,,,1.23565,p2,42,p2_seed42,47
,1.75011,,2.30209,,,,0.00027579180754633227,0.4129,,1.15242,,,48,,,2372.912697714,,1779997980.1870563,0.66391,,,,0.71151,0.00027579180754633227,1.54747,,0.00027579180754633227,,,,0.73424,,0.96658,,,,,,1.23895,p2,42,p2_seed42,48
